player_id,country,group,full_name,espn_name,squad_number,position,date_of_birth,age,height,weight,club,league,in_top_league,caps,international_goals,market_value_eur,market_value_fmt,tm_player_id,sofa_player_id,sofa_club,sofa_league,club_conflict,confidence,data_sources
algeria_1,Algeria,J,Melvin Mastil,,1,GK,2000-02-19,26,"6' 4""",196 lbs,Stade Nyonnais,,False,1,0,250000,€250k,534398,1118193,Stade Nyonnais,Promotion League,False,100,wikipedia;transfermarkt;sofascore
algeria_2,Algeria,J,Aïssa Mandi,,2,DF,1991-10-22,34,"6' 1""",179 lbs,Lille,Ligue 1,True,117,7,1000000,€1m,80293,122810,Lille,Ligue 1,False,100,wikipedia;transfermarkt;sofascore
algeria_3,Algeria,J,Achref Abada,Achraf Abada,3,DF,1999-06-15,26,"6' 1""",172 lbs,USM Alger,,False,7,1,1000000,€1m,949929,1503088,USM Alger,Algerian Ligue 1,False,100,wikipedia;transfermarkt;sofascore
algeria_4,Algeria,J,Mohamed Amine Tougai,,4,DF,2000-01-22,26,"6' 1""",183 lbs,Espérance de Tunis,,False,29,2,1300000,€1.3m,592396,1018018,Espérance Tunis,Tunisian Ligue Professionnelle 1,False,100,wikipedia;transfermarkt;sofascore
algeria_5,Algeria,J,Zineddine Belaïd,,5,DF,1999-03-20,27,"6' 1""",183 lbs,JS Kabylie,,False,10,1,1800000,€1.8m,625142,1018822,JS Kabylie,Algerian Ligue 1,False,100,wikipedia;transfermarkt;sofascore
algeria_6,Algeria,J,Ramiz Zerrouki,,6,MF,1998-05-26,28,"6' 0""",181 lbs,Twente,,False,52,3,6500000,€6.5m,416660,989882,FC Twente,VriendenLoterij Eredivisie,False,100,wikipedia;transfermarkt;sofascore
algeria_7,Algeria,J,Riyad Mahrez(captain),Riyad Mahrez,7,FW,1991-02-21,35,"5' 10""",161 lbs,Al-Ahli,Saudi Pro League,True,114,38,,,,,,,False,50,wikipedia
algeria_8,Algeria,J,Houssem Aouar,,8,MF,1998-06-30,27,"5' 9""",152 lbs,Al-Ittihad,Saudi Pro League,True,20,6,8000000,€8m,395693,846081,Al-Ittihad,Saudi Pro League,False,100,wikipedia;transfermarkt;sofascore
algeria_9,Algeria,J,Amine Gouiri,,9,FW,2000-02-16,26,"5' 11""",174 lbs,Marseille,Ligue 1,True,22,8,28000000,€28m,418659,859026,Olympique de Marseille,Ligue 1,False,100,wikipedia;transfermarkt;sofascore
algeria_10,Algeria,J,Farès Chaïbi,,10,MF,2002-11-28,23,"6' 0""",150 lbs,Eintracht Frankfurt,Bundesliga,True,29,3,15000000,€15m,855015,1192318,Eintracht Frankfurt,Bundesliga,False,100,wikipedia;transfermarkt;sofascore
algeria_11,Algeria,J,Anis Hadj Moussa,,11,FW,2002-02-11,24,"5' 9""",163 lbs,Feyenoord,,False,14,1,23000000,€23m,917911,1218066,Feyenoord,VriendenLoterij Eredivisie,False,100,wikipedia;transfermarkt;sofascore
algeria_12,Algeria,J,Nadhir Benbouali,,12,FW,2000-04-17,26,"6' 3""",185 lbs,Győri ETO,,False,3,1,1200000,€1.2m,840254,1177807,ETO FC Győr,NB II,False,100,wikipedia;transfermarkt;sofascore
algeria_13,Algeria,J,Jaouen Hadjam,,13,DF,2003-03-26,23,"6' 1""",181 lbs,Young Boys,,False,17,3,7000000,€7m,750903,1049534,BSC Young Boys,Swiss Super League,False,100,wikipedia;transfermarkt;sofascore
algeria_14,Algeria,J,Hicham Boudaoui,,14,MF,1999-09-23,26,"5' 9""",132 lbs,Nice,Ligue 1,True,32,0,12000000,€12m,560593,985923,Nice,Ligue 1,False,100,wikipedia;transfermarkt;sofascore
algeria_15,Algeria,J,Rayan Aït-Nouri,,15,DF,2001-06-06,25,"5' 11""",174 lbs,Manchester City,Premier League,True,28,0,40000000,€40m,578391,931278,Manchester City,Premier League,False,100,wikipedia;transfermarkt;sofascore
algeria_16,Algeria,J,Oussama Benbot,,16,GK,1994-10-11,31,"6' 2""",196 lbs,USM Alger,,False,2,0,,,,1007589,USM Alger,Algerian Ligue 1,False,75,wikipedia;sofascore
algeria_17,Algeria,J,Rafik Belghali,,17,DF,2002-06-07,24,"5' 10""",150 lbs,Hellas Verona,Serie A,True,12,1,7000000,€7m,864306,1103488,Hellas Verona,Serie A,False,100,wikipedia;transfermarkt;sofascore
algeria_18,Algeria,J,Mohamed Amoura,,18,FW,2000-05-09,26,"5' 7""",132 lbs,VfL Wolfsburg,Bundesliga,True,45,19,20000000,€20m,746910,1107591,VfL Wolfsburg,Bundesliga,False,100,wikipedia;transfermarkt;sofascore
algeria_19,Algeria,J,Nabil Bentaleb,,19,MF,1994-11-24,31,"6' 2""",168 lbs,Lille,Ligue 1,True,59,6,4500000,€4.5m,245537,368120,Lille,Ligue 1,False,100,wikipedia;transfermarkt;sofascore
algeria_20,Algeria,J,Adil Boulbina,,20,FW,2003-05-02,23,"6' 0""",174 lbs,Al-Duhail,,False,11,6,3000000,€3m,748443,1094482,Al Duhail,Stars League,False,100,wikipedia;transfermarkt;sofascore
algeria_21,Algeria,J,Ramy Bensebaini,,21,DF,1995-04-16,31,"6' 2""",181 lbs,Borussia Dortmund,Bundesliga,True,81,7,7000000,€7m,284732,577726,Borussia Dortmund,Bundesliga,False,100,wikipedia;transfermarkt;sofascore
algeria_22,Algeria,J,Ibrahim Maza,,22,MF,2005-11-24,20,"5' 11""",172 lbs,Bayer Leverkusen,Bundesliga,True,16,2,45000000,€45m,905011,1407524,Bayer 04 Leverkusen,Bundesliga,False,100,wikipedia;transfermarkt;sofascore
algeria_23,Algeria,J,Luca Zidane,,23,GK,1998-05-13,28,"6' 0""",172 lbs,Granada,,False,7,0,1000000,€1m,283489,802133,Granada,LaLiga,False,100,wikipedia;transfermarkt;sofascore
algeria_24,Algeria,J,Yacine Titraoui,Yassine Titraoui,24,MF,2003-08-26,22,"5' 7""",152 lbs,Charleroi,,False,5,0,7000000,€7m,748445,1094538,RC Sporting Charleroi,Pro League,False,100,wikipedia;transfermarkt;sofascore
algeria_25,Algeria,J,Farès Ghedjemis,,25,FW,2002-09-06,23,"6' 0""",181 lbs,Frosinone,,False,1,1,7500000,€7.5m,888738,1445228,Frosinone,Serie B,False,100,wikipedia;transfermarkt;sofascore
algeria_26,Algeria,J,Samir Chergui,,26,DF,1999-02-06,27,"6' 1""",172 lbs,Paris FC,,False,4,0,3000000,€3m,668167,981168,Paris FC,Ligue 2,False,100,wikipedia;transfermarkt;sofascore
argentina_1,Argentina,J,Juan Musso,,1,GK,1994-05-06,32,"6' 3""",203 lbs,Atlético Madrid,La Liga,True,4,0,3000000,€3m,242359,263651,Atlético Madrid,LaLiga,False,100,wikipedia;transfermarkt;sofascore
argentina_3,Argentina,J,Nicolás Tagliafico,,3,DF,1992-08-31,33,"5' 8""",141 lbs,Lyon,Ligue 1,True,76,1,4000000,€4m,131225,158243,Olympique Lyonnais,Ligue 1,False,100,wikipedia;transfermarkt;sofascore
argentina_4,Argentina,J,Gonzalo Montiel,,4,DF,1997-01-01,29,"5' 9""",152 lbs,River Plate,,False,38,2,4500000,€4.5m,402733,822933,River Plate,Liga Profesional de Fútbol,False,100,wikipedia;transfermarkt;sofascore
