country,flag_emoji,group,confederation,spotlight,manager,wc_appearances,wc_debut_year,wc_best_finish,squad_total_value_eur,avg_confidence,data_completeness_pct,players_with_sofa,players_with_tm,players_all_sources
Czechia,🇨🇿,A,UEFA,True,Miroslav Koubek,10,1934,As Czechoslovakia: Runners-up,166175000,98.1,96.2,25,25,25
Mexico,🇲🇽,A,CONCACAF,True,Javier Aguirre,18,1930,Quarter-finals,176850000,98.1,96.2,25,25,25
South Africa,🇿🇦,A,CAF,False,Hugo Broos,4,1998,Group stage,48450000,97.7,96.2,25,25,25
South Korea,🇰🇷,A,AFC,True,Hong Myung-bo,12,1954,Fourth place,10000000,60.6,38.5,10,1,1
Bosnia and Herzegovina,🇧🇦,B,UEFA,True,Sergej Barbarez,2,2014,Group stage,150600000,97.9,96.2,25,25,25
Canada,🇨🇦,B,CONCACAF,True,Jesse Marsch,3,1986,Group stage,0,73.8,92.0,24,0,0
Qatar,🇶🇦,B,AFC,False,Julen Lopetegui,2,2022,Group stage,0,68.3,73.1,19,0,0
Switzerland,🇨🇭,B,UEFA,True,Murat Yakin,13,1934,Quarter-finals,324500000,98.1,96.2,25,25,25
Brazil,🇧🇷,C,CONMEBOL,True,Carlo Ancelotti,23,1930,Champions,743700000,91.3,84.6,22,21,21
Haiti,🇭🇹,C,CONCACAF,False,Sébastien Migné,2,1974,Group stage,0,73.1,92.3,24,0,0
Morocco,🇲🇦,C,CAF,True,Mohamed Ouahbi,7,1970,Fourth place,407700000,93.3,88.5,22,23,22
Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿,C,UEFA,False,Steve Clarke,9,1954,Group stage,163250000,97.5,96.2,25,25,25
Australia,🇦🇺,D,AFC,True,Tony Popovic,7,1974,Round of 16,75650000,98.1,96.2,25,25,25
Paraguay,🇵🇾,D,CONMEBOL,False,Gustavo Alfaro,9,1930,Quarter-finals,0,73.1,92.3,24,0,0
Türkiye,🇹🇷,D,UEFA,True,Vincenzo Montella,3,1954,Third place,457700000,97.1,96.2,24,25,24
United States,🇺🇸,D,CONCACAF,True,Mauricio Pochettino,12,1930,Third place,385500000,98.1,96.2,25,25,25
Curaçao,🇨🇼,E,CONCACAF,False,Dick Advocaat,1,2026,TBD,25525000,98.1,96.2,25,25,25
